DATE,NGDPRSAXDCDEQ
1991-01-01,513641.25400026
1991-04-01,510922.83371032
1991-07-01,509807.57869087
1991-10-01,516359.68350352
1992-01-01,524218.55158718
1992-04-01,520245.58917363
1992-07-01,519339.51357029
1992-10-01,517666.68632108
1993-01-01,513850.35970974
1993-04-01,513710.96204564
1993-07-01,516847.58454121
1993-10-01,516429.40076223
1994-01-01,523539.07780463
1994-04-01,524793.73048819
1994-07-01,528487.99892015
1994-10-01,534761.28076461
1995-01-01,532948.97293134
1995-04-01,536852.34707278
1995-07-01,537758.46874276
1995-10-01,538037.28249763
1996-01-01,533645.97967851
1996-04-01,540825.40161961
1996-07-01,542637.6818129
1996-10-01,546750.16166383
1997-01-01,543892.37134978
1997-04-01,550932.36798679
1997-07-01,552605.23208932
1997-10-01,556787.36470565
1998-01-01,562015.12721602
1998-04-01,559575.51146762
1998-07-01,562224.19607219
1998-10-01,559924.03326786
1999-01-01,566389.09055041
1999-04-01,566389.1181904
1999-07-01,572731.91460033
1999-10-01,577401.8653344
2000-01-01,585661.7619789
2000-04-01,590401.71558486
2000-07-01,590122.90183
2000-10-01,588380.2375488
2001-01-01,600282.0340646
2001-04-01,600003.22952307
2001-07-01,598748.56762618
2001-10-01,598260.62973517
2002-01-01,595193.70607165
2002-04-01,597772.7010575
2002-07-01,600560.84781947
2002-10-01,599794.14224024
2003-01-01,590924.51671189
2003-04-01,591551.82462701
2003-07-01,596082.37769697
2003-10-01,597755.19573286
2004-01-01,596709.79617204
2004-04-01,599776.64612893
2004-07-01,598522.067152
2004-10-01,597964.42121561
2005-01-01,597981.86204695
2005-04-01,601188.18337458
2005-07-01,606276.49294087
2005-10-01,609134.32010823
2006-01-01,614989.39053372
2006-04-01,625584.2302986
2006-07-01,630463.43415541
2006-10-01,640012.76379953
2007-01-01,640413.70022708
2007-04-01,645780.70377496
2007-07-01,649126.35827339
2007-10-01,653308.44482308
2008-01-01,657490.62350605
2008-04-01,655887.51351555
2008-07-01,651705.41775253
2008-10-01,641319.92324368
2009-01-01,611277.81947036
2009-04-01,612253.61233241
2009-07-01,615668.97487622
2009-10-01,620199.53715951
2010-01-01,625235.71771169
2010-04-01,639315.6741324
2010-07-01,644543.43664277
2010-10-01,649771.17151315
2011-01-01,662370.03926942
2011-04-01,662997.34718454
2011-07-01,668852.2794101
2011-10-01,666691.5511232
2012-01-01,668085.66596417
2012-04-01,669479.62417854
2012-07-01,671361.60320388
2012-10-01,668364.45207904
2013-01-01,665314.9508202
2013-04-01,672424.60943595
2013-07-01,676188.55827331
2013-10-01,678140.29141067
2014-01-01,684744.70029068
2014-04-01,684744.70029068
2014-07-01,688229.73402655
2014-10-01,693805.8709239
2015-01-01,690251.34104921
2015-04-01,695339.50320224
2015-07-01,698476.05199119
2015-10-01,701542.92037473
2016-01-01,707432.85403624
2016-04-01,710569.55945177
2016-07-01,712381.85807172
2016-10-01,714960.94519085
2017-01-01,723569.40048891
2017-04-01,729703.10040269
2017-07-01,735070.15001722
2017-10-01,741761.47744072
2018-01-01,737457.48933824
2018-04-01,742685.22420862
2018-07-01,736830.15378313
2018-10-01,742685.26106194
2019-01-01,748000.11716905
2019-04-01,746745.39077886
2019-07-01,747581.86889677
2019-10-01,749533.61124746
2020-01-01,738869.50567698
2020-04-01,668816.30136131
2020-07-01,729041.1687981
2020-10-01,733571.95220128
2021-01-01,722802.75940298
2021-04-01,736743.05097306
2021-07-01,742528.22908659
2021-10-01,742319.16944375
2022-01-01,748244.10454121
2022-04-01,749010.81012044
2022-07-01,752565.57954168
2022-10-01,749289.57780866
